log/H/log_instMulti_I50_J500_T8_0.txt:Result: runtime=0.18sec; objective=625671
log/H/log_instMulti_I50_J500_T8_1.txt:Result: runtime=0.21sec; objective=961577
log/H/log_instSingle_I10_J50_T3_0.txt:Result: runtime=0.00sec; objective=23484
log/H/log_instSingle_I10_J50_T3_1.txt:Result: runtime=0.00sec; objective=24301
log/H/log_instSingle_I20_J1000_T8_0.txt:Result: runtime=0.17sec; objective=548961
log/H/log_instSingle_I20_J1000_T8_1.txt:Result: runtime=0.17sec; objective=529254
log/H/log_instSingle_I20_J100_T4_0.txt:Result: runtime=0.00sec; objective=45097
log/H/log_instSingle_I20_J100_T4_1.txt:Result: runtime=0.00sec; objective=44157
log/H/log_instSingle_I20_J100_T8_0.txt:Result: runtime=0.02sec; objective=81883
log/H/log_instSingle_I20_J100_T8_1.txt:Result: runtime=0.02sec; objective=80797
log/H/log_instSingle_I20_J250_T4_0.txt:Result: runtime=0.01sec; objective=87633
log/H/log_instSingle_I20_J250_T4_1.txt:Result: runtime=0.01sec; objective=90916
log/H/log_instSingle_I20_J250_T8_0.txt:Result: runtime=0.04sec; objective=161142
log/H/log_instSingle_I20_J250_T8_1.txt:Result: runtime=0.04sec; objective=156920
log/H/log_instSingle_I30_J1000_T12_0.txt:Result: runtime=0.48sec; objective=776119
log/H/log_instSingle_I30_J1000_T12_1.txt:Result: runtime=0.47sec; objective=793688
log/H/log_instSingle_I30_J1000_T8_0.txt:Result: runtime=0.21sec; objective=535028
log/H/log_instSingle_I30_J1000_T8_1.txt:Result: runtime=0.21sec; objective=525009
log/H/log_instSingle_I30_J250_T12_0.txt:Result: runtime=0.12sec; objective=221491
log/H/log_instSingle_I30_J250_T12_1.txt:Result: runtime=0.12sec; objective=229222
log/H/log_instSingle_I30_J250_T4_0.txt:Result: runtime=0.01sec; objective=88461
log/H/log_instSingle_I30_J250_T4_1.txt:Result: runtime=0.01sec; objective=86863
log/H/log_instSingle_I30_J250_T8_0.txt:Result: runtime=0.05sec; objective=154812
log/H/log_instSingle_I30_J250_T8_1.txt:Result: runtime=0.05sec; objective=158698
log/H/log_instSingle_I30_J500_T12_0.txt:Result: runtime=0.25sec; objective=401471
log/H/log_instSingle_I30_J500_T12_1.txt:Result: runtime=0.25sec; objective=413236
log/H/log_instSingle_I30_J500_T8_0.txt:Result: runtime=0.10sec; objective=287171
log/H/log_instSingle_I30_J500_T8_1.txt:Result: runtime=0.11sec; objective=288331
log/H/log_instSingle_I50_J1000_T12_0.txt:Result: runtime=0.64sec; objective=773459
log/H/log_instSingle_I50_J1000_T12_1.txt:Result: runtime=0.62sec; objective=767560
log/H/log_instSingle_I50_J1000_T8_0.txt:Result: runtime=0.27sec; objective=512626
log/H/log_instSingle_I50_J1000_T8_1.txt:Result: runtime=0.29sec; objective=532711
log/H/log_instSingle_I50_J250_T12_0.txt:Result: runtime=0.16sec; objective=229611
log/H/log_instSingle_I50_J250_T12_1.txt:Result: runtime=0.16sec; objective=228604
log/H/log_instSingle_I50_J250_T8_0.txt:Result: runtime=0.07sec; objective=157450
log/H/log_instSingle_I50_J250_T8_1.txt:Result: runtime=0.07sec; objective=160494
log/H/log_instSingle_I50_J500_T12_0.txt:Result: runtime=0.33sec; objective=405883
log/H/log_instSingle_I50_J500_T12_1.txt:Result: runtime=0.32sec; objective=409894
log/H/log_instSingle_I50_J500_T8_0.txt:Result: runtime=0.14sec; objective=282693
log/H/log_instSingle_I50_J500_T8_1.txt:Result: runtime=0.14sec; objective=284348
